Profil natężenia wiązki laserowej
położenie detektora [mm]	natężenie światła [mW/cm^2]
0,1	0,01514
0,2	0,04135
0,3	0,11087
0,4	0,1309
0,5	0,05093
0,6	0,07075
0,7	0,1369
0,8	0,17109
0,9	0,17559
1	0,13581
1,1	0,12624
1,2	0,21058
1,3	0,12156
1,4	0,15647
1,5	0,16615
1,6	0,22279
1,7	0,26637
1,8	0,23961
1,9	0,24605
2	0,26778
2,1	0,30796
2,2	0,32272
2,3	0,33932
2,4	0,42446
2,5	0,46242
2,6	0,49034
2,7	0,5745
2,8	0,65835
2,9	0,72092
3	0,81871
3,1	0,91269
3,2	0,90955
3,3	1,085
3,4	1,13648
3,5	1,16306
3,6	1,2385
3,7	1,33819
3,8	1,42116
3,9	1,48133
4	1,43783
4,1	1,44529
4,2	1,54856
4,3	1,54037
4,4	1,47671
4,5	1,56906
4,6	1,527
4,7	1,51038
4,8	1,55026
4,9	1,60303
5	1,65626
5,1	1,70258
5,2	1,82093
5,3	1,97799
5,4	2,00641
5,5	2,11951
5,6	2,26951
5,7	2,41936
5,8	2,4765
5,9	2,52925
6	2,55631
6,1	2,67836
6,2	2,67524
6,3	2,55801
6,4	2,50709
6,5	2,43243
6,6	2,32853
6,7	2,19961
6,8	2,08358
6,9	1,99248
7	1,85196
7,1	1,69077
7,2	1,5802
7,3	1,37889
7,4	1,34134
7,5	1,24127
7,6	1,11568
7,7	1,07407
7,8	1,01324
7,9	0,91529
8	0,89232
8,1	0,86017
8,2	0,89711
8,3	0,81224
8,4	0,83594
8,5	0,80993
8,6	0,85901
8,7	0,85009
8,8	0,81517
8,9	0,84171
9	0,8835
9,1	0,85186
9,2	0,91651
9,3	0,89235
9,4	0,94422
9,5	0,90453
9,6	0,927
9,7	0,94014
9,8	0,97137
9,9	0,92976
10	0,99709
